airline,airport,avg_dep_delay
"Alaska Airlines Inc.: AS","Adak Island, AK: Adak",23.25
"JetBlue Airways: B6","Albany, NY: Albany International",36.93939393939394
"Southwest Airlines Co.: WN","Amarillo, TX: Rick Husband Amarillo International",14.616666666666667
"United Air Lines Inc.: UA","Nashville, TN: Nashville International",39.96078431372549
"Envoy Air: MQ","Bozeman, MT: Bozeman Yellowstone International",35.92857142857143
"Spirit Air Lines: NK","Akron, OH: Akron-Canton Regional",45.125
"Endeavor Air Inc.: 9E","Charleston/Dunbar, WV: Yeager",41.86734693877551
"American Airlines Inc.: AA","Cincinnati, OH: Cincinnati/Northern Kentucky International",83.91666666666667
"Mesa Airlines Inc.: YV","Dayton, OH: James M Cox/Dayton International",101.2
"Allegiant Air: G4","Dayton, OH: James M Cox/Dayton International",67.10526315789474
"Horizon Air: QX","Dillingham, AK: Dillingham Airport",19.214285714285715
"Delta Air Lines Inc.: DL","El Paso, TX: El Paso International",49.535714285714285
"PSA Airlines Inc.: OH","Sioux Falls, SD: Joe Foss Field",56.785714285714285
"Hawaiian Airlines Inc.: HA","New York, NY: John F. Kennedy International",147.58333333333334
"SkyWest Airlines Inc.: OO","Jamestown, ND: Jamestown Regional",154.46052631578948
"Frontier Airlines Inc.: F9","New Orleans, LA: Louis Armstrong New Orleans International",40.5
"Republic Airline: YX","Tulsa, OK: Tulsa International",47.375
